"State","Land Use & Land Use Change Categories","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Connecticut","GF",0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
"Connecticut","OF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Connecticut","SF",1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.25,1.25,1.25,1.25,1.25,1.25,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27
"Connecticut","WF",0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.62,0.62,0.62,0.62,0.62,0.62,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63
"Connecticut","Total Forest Land Converted to Land",1.84,1.84,1.84,1.84,1.83,1.83,1.83,1.83,1.83,1.83,1.82,1.82,1.82,1.82,1.82,1.82,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99
"Connecticut","FC",0.4,0.4,0.4,0.4,0.37,0.37,0.37,0.37,0.37,0.37,0.33,0.33,0.33,0.33,0.33,0.33,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
"Connecticut","FG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Connecticut","FO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26
"Connecticut","FS",1.19,1.19,1.19,1.19,1.22,1.22,1.22,1.22,1.22,1.22,1.26,1.26,1.26,1.26,1.26,1.26,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33
"Connecticut","FW",0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19
"Delaware","Total Forest Land",149.69,149.4,149.12,148.83,148.53,148.23,147.93,147.62,147.32,147.02,146.69,146.37,146.04,145.71,145.39,145.06,144.75,144.44,144.13,143.82,143.51,143.2,142.89,142.49,142.09,141.69,141.29,140.89,140.49,142.49,142.09,141.69,141.29,140.89
"Delaware","FF",149.59,149.31,149.02,148.74,148.44,148.14,147.83,147.53,147.23,146.93,146.6,146.28,145.95,145.62,145.3,144.97,144.67,144.36,144.05,143.74,143.43,143.12,142.81,142.4,142,141.6,141.2,140.8,140.4,142.4,142,141.6,141.2,140.8
"Delaware","Total Land Converted to Forest Land",0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
"Delaware","CF",0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
"Delaware","GF",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"Delaware","OF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Delaware","SF",0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
"Delaware","WF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Delaware","Total Forest Land Converted to Land",0.38,0.38,0.38,0.38,0.39,0.39,0.39,0.39,0.39,0.39,0.42,0.42,0.42,0.42,0.42,0.42,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49
"Delaware","FC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Delaware","FG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Delaware","FO",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
"Delaware","FS",0.16,0.16,0.16,0.16,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26
"Delaware","FW",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"Florida","Total Forest Land",7293.72,7278.49,7263.26,7248.02,7232.79,7217.56,7198,7178.44,7158.87,7139.31,7119.75,7102.28,7084.82,7067.35,7049.88,7032.41,7014.95,6996.18,6977.41,6958.64,6939.87,6921.1,6902.34,6881.16,6859.99,6838.81,6817.64,6796.47,6775.29,6876.93,6851.52,6826.11,6800.7,6775.29
"Florida","FF",7272.52,7257.29,7242.06,7226.83,7211.6,7196.37,7172.98,7153.42,7133.86,7114.29,7094.73,7081.8,7064.34,7046.87,7029.4,7011.93,6994.47,6976.1,6957.33,6938.56,6919.79,6901.02,6882.25,6861.53,6840.35,6819.18,6798,6776.83,6755.66,6853.36,6827.96,6802.55,6777.14,6751.73
"Florida","Total Land Converted to Forest Land",21.2,21.2,21.2,21.2,21.2,21.2,25.02,25.02,25.02,25.02,25.02,20.48,20.48,20.48,20.48,20.48,20.48,20.08,20.08,20.08,20.08,20.08,20.08,19.64,19.64,19.64,19.64,19.64,19.64,23.56,23.56,23.56,23.56,23.56
"Florida","CF",3.6,3.6,3.6,3.6,3.6,3.6,4.25,4.25,4.25,4.25,4.25,3.47,3.47,3.47,3.47,3.47,3.47,3.4,3.4,3.4,3.4,3.4,3.4,3.32,3.32,3.32,3.32,3.32,3.32,3.98,3.98,3.98,3.98,3.98
"Florida","GF",6.29,6.29,6.29,6.29,6.29,6.29,7.43,7.43,7.43,7.43,7.43,6.08,6.08,6.08,6.08,6.08,6.08,5.97,5.97,5.97,5.97,5.97,5.97,5.84,5.84,5.84,5.84,5.84,5.84,7.01,7.01,7.01,7.01,7.01
"Florida","OF",0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05
"Florida","SF",7.15,7.15,7.15,7.15,7.15,7.15,8.44,8.44,8.44,8.44,8.44,6.9,6.9,6.9,6.9,6.9,6.9,6.76,6.76,6.76,6.76,6.76,6.76,6.61,6.61,6.61,6.61,6.61,6.61,7.93,7.93,7.93,7.93,7.93
"Florida","WF",4.11,4.11,4.11,4.11,4.11,4.11,4.86,4.86,4.86,4.86,4.86,3.98,3.98,3.98,3.98,3.98,3.98,3.91,3.91,3.91,3.91,3.91,3.91,3.83,3.83,3.83,3.83,3.83,3.83,4.6,4.6,4.6,4.6,4.6
"Florida","Total Forest Land Converted to Land",36.43,36.43,36.43,36.43,36.43,36.43,44.58,44.58,44.58,44.58,44.58,37.95,37.95,37.95,37.95,37.95,37.95,38.85,38.85,38.85,38.85,38.85,38.85,40.81,40.81,40.81,40.81,40.81,40.81,48.97,48.97,48.97,48.97,48.97
"Florida","FC",4.85,4.85,4.85,4.85,4.85,4.85,5.68,5.68,5.68,5.68,5.68,4.59,4.59,4.59,4.59,4.59,4.59,4.44,4.44,4.44,4.44,4.44,4.44,4.26,4.26,4.26,4.26,4.26,4.26,5.11,5.11,5.11,5.11,5.11
"Florida","FG",13.33,13.33,13.33,13.33,13.33,13.33,16.52,16.52,16.52,16.52,16.52,14.26,14.26,14.26,14.26,14.26,14.26,14.82,14.82,14.82,14.82,14.82,14.82,15.47,15.47,15.47,15.47,15.47,15.47,18.56,18.56,18.56,18.56,18.56
"Florida","FO",0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.12,0.12,0.12,0.12,0.12,0.12,1.7,1.7,1.7,1.7,1.7,1.7,2.04,2.04,2.04,2.04,2.04
"Florida","FS",13.9,13.9,13.9,13.9,13.9,13.9,17.16,17.16,17.16,17.16,17.16,14.73,14.73,14.73,14.73,14.73,14.73,15.19,15.19,15.19,15.19,15.19,15.19,15.67,15.67,15.67,15.67,15.67,15.67,18.81,18.81,18.81,18.81,18.81
"Florida","FW",4.29,4.29,4.29,4.29,4.29,4.29,5.15,5.15,5.15,5.15,5.15,4.3,4.3,4.3,4.3,4.3,4.3,4.27,4.27,4.27,4.27,4.27,4.27,3.71,3.71,3.71,3.71,3.71,3.71,4.45,4.45,4.45,4.45,4.45
"Georgia","Total Forest Land",10286.83,10273.09,10259.34,10247.16,10234.99,10222.81,10210.63,10198.46,10186.28,10170.78,10155.28,10139.78,10124.28,10108.78,10095.11,10081.43,10067.76,10054.09,10040.42,10026.75,10009.48,9992.21,9974.94,9957.67,9940.4,9922.58,9904.75,9886.93,9869.1,9851.27,9925.55,9910.69,9895.84,9880.98
"Georgia","FF",10256.99,10243.24,10229.49,10222.5,10210.32,10198.15,10185.97,10173.8,10161.62,10141.45,10125.95,10110.45,10094.95,10079.45,10070.89,10057.22,10043.55,10029.88,10016.21,10002.53,9980.72,9963.45,9946.18,9928.91,9911.64,9894.12,9876.29,9858.47,9840.64,9822.81,9901.83,9886.98,9872.12,9857.27
"Georgia","Total Land Converted to Forest Land",29.84,29.84,29.84,24.66,24.66,24.66,24.66,24.66,24.66,29.33,29.33,29.33,29.33,29.33,24.21,24.21,24.21,24.21,24.21,24.21,28.76,28.76,28.76,28.76,28.76,28.46,28.46,28.46,28.46,28.46,23.72,23.72,23.72,23.72
"Georgia","CF",11.53,11.53,11.53,9.52,9.52,9.52,9.52,9.52,9.52,11.32,11.32,11.32,11.32,11.32,9.34,9.34,9.34,9.34,9.34,9.34,11.1,11.1,11.1,11.1,11.1,10.98,10.98,10.98,10.98,10.98,9.15,9.15,9.15,9.15
"Georgia","GF",5.12,5.12,5.12,4.23,4.23,4.23,4.23,4.23,4.23,5.03,5.03,5.03,5.03,5.03,4.15,4.15,4.15,4.15,4.15,4.15,4.93,4.93,4.93,4.93,4.93,4.87,4.87,4.87,4.87,4.87,4.06,4.06,4.06,4.06
"Georgia","OF",0.61,0.61,0.61,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.59,0.59,0.59,0.59,0.59,0.49,0.49,0.49,0.49
"Georgia","SF",10.99,10.99,10.99,9.09,9.09,9.09,9.09,9.09,9.09,10.81,10.81,10.81,10.81,10.81,8.92,8.92,8.92,8.92,8.92,8.92,10.6,10.6,10.6,10.6,10.6,10.49,10.49,10.49,10.49,10.49,8.74,8.74,8.74,8.74
"Georgia","WF",1.6,1.6,1.6,1.32,1.32,1.32,1.32,1.32,1.32,1.57,1.57,1.57,1.57,1.57,1.3,1.3,1.3,1.3,1.3,1.3,1.54,1.54,1.54,1.54,1.54,1.52,1.52,1.52,1.52,1.52,1.27,1.27,1.27,1.27
"Georgia","Total Forest Land Converted to Land",43.59,43.59,43.59,36.84,36.84,36.84,36.84,36.84,36.84,44.83,44.83,44.83,44.83,44.83,37.88,37.88,37.88,37.88,37.88,37.88,46.03,46.03,46.03,46.03,46.03,46.29,46.29,46.29,46.29,46.29,38.57,38.57,38.57,38.57
"Georgia","FC",9.94,9.94,9.94,8.39,8.39,8.39,8.39,8.39,8.39,10.21,10.21,10.21,10.21,10.21,8.65,8.65,8.65,8.65,8.65,8.65,10.58,10.58,10.58,10.58,10.58,10.83,10.83,10.83,10.83,10.83,9.02,9.02,9.02,9.02
"Georgia","FG",12.23,12.23,12.23,9.98,9.98,9.98,9.98,9.98,9.98,11.65,11.65,11.65,11.65,11.65,9.36,9.36,9.36,9.36,9.36,9.36,10.72,10.72,10.72,10.72,10.72,10.09,10.09,10.09,10.09,10.09,8.41,8.41,8.41,8.41
"Georgia","FO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04
"Georgia","FS",19.19,19.19,19.19,16.6,16.6,16.6,16.6,16.6,16.6,20.72,20.72,20.72,20.72,20.72,17.99,17.99,17.99,17.99,17.99,17.99,22.55,22.55,22.55,22.55,22.55,23.59,23.59,23.59,23.59,23.59,19.66,19.66,19.66,19.66
"Georgia","FW",2.24,2.24,2.24,1.87,1.87,1.87,1.87,1.87,1.87,2.25,2.25,2.25,2.25,2.25,1.87,1.87,1.87,1.87,1.87,1.87,2.17,2.17,2.17,2.17,2.17,1.73,1.73,1.73,1.73,1.73,1.44,1.44,1.44,1.44
"Hawaii","Total Forest Land",731.79,731.79,731.79,731.79,731.79,731.79,731.79,731.79,731.79,731.79,731.79,731.79,731.79,731.79,731.79,731.79,731.79,731.79,731.79,731.79,731.79,731.79,731.79,731.79,731.79,731.79,731.79,731.79,731.79,731.79,731.79,731.79,731.79,731.79
"Idaho","Total Forest Land",8148.71,8166,8183.28,8200.56,8217.84,8235.12,8252.4,8269.69,8287.85,8306.02,8324.18,8342.35,8360.51,8378.68,8396.84,8415.01,8433.18,8451.34,8472.58,8493.81,8515.05,8536.28,8557.52,8578.76,8599.99,8621.23,8642.46,8470.45,8489.56,8508.68,8527.79,8546.9,8566.01,8585.13
"Idaho","FF",8124.2,8141.48,8158.76,8176.04,8193.32,8210.6,8227.89,8245.17,8262.81,8280.97,8299.14,8317.31,8335.47,8353.64,8371.8,8389.97,8408.13,8426.3,8444.14,8465.38,8486.61,8507.85,8529.08,8550.32,8571.56,8592.79,8614.03,8444.86,8463.97,8483.09,8502.2,8521.31,8540.42,8559.53
"Idaho","Total Land Converted to Forest Land",24.52,24.52,24.52,24.52,24.52,24.52,24.52,24.52,25.04,25.04,25.04,25.04,25.04,25.04,25.04,25.04,25.04,25.04,28.44,28.44,28.44,28.44,28.44,28.44,28.44,28.44,28.44,25.59,25.59,25.59,25.59,25.59,25.59,25.59
"Idaho","CF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Idaho","GF",20.24,20.24,20.24,20.24,20.24,20.24,20.24,20.24,20.67,20.67,20.67,20.67,20.67,20.67,20.67,20.67,20.67,20.67,23.47,23.47,23.47,23.47,23.47,23.47,23.47,23.47,23.47,21.12,21.12,21.12,21.12,21.12,21.12,21.12
"Idaho","OF",3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,3.76,3.76,3.76,3.76,3.76,3.76,3.76
"Idaho","SF",0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.61,0.61,0.61,0.61,0.61,0.61,0.61
"Idaho","WF",0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09
"Idaho","Total Forest Land Converted to Land",7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,6.48,6.48,6.48,6.48,6.48,6.48,6.48
"Idaho","FC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Idaho","FG",4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.15,4.15,4.15,4.15,4.15,4.15,4.15
"Idaho","FO",0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.69,0.69,0.69,0.69,0.69,0.69,0.69
"Idaho","FS",1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.52,1.52,1.52,1.52,1.52,1.52,1.52
"Idaho","FW",0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12
"Idaho","Total Woodlands Remaining Woodlands",166.73,165.1,163.47,161.84,160.21,158.58,156.95,155.32,153.66,151.77,149.88,147.99,146.1,144.21,142.31,140.42,138.53,136.64,134.32,131.89,129.46,127.03,124.6,122.17,119.74,117.31,114.88,134.72,132.54,130.35,128.16,125.97,123.79,121.6
"Illinois","Total Forest Land",1773.86,1778.93,1783.99,1789.06,1794.71,1800.36,1806.01,1811.66,1817.31,1822.96,1829.3,1835.65,1841.99,1848.34,1854.68,1861.03,1867.19,1873.35,1879.5,1885.66,1891.82,1897.98,1904.13,1912.3,1920.47,1928.64,1936.81,1944.98,1953.15,1912.3,1920.47,1928.64,1936.81,1944.98
"Illinois","FF",1756.92,1761.99,1767.06,1772.12,1777.42,1783.07,1788.72,1794.37,1800.02,1805.67,1811.62,1817.97,1824.32,1830.66,1837.01,1843.35,1851.66,1857.81,1863.97,1870.13,1876.29,1882.44,1888.6,1893.68,1901.85,1910.02,1918.19,1926.36,1934.53,1893.68,1901.85,1910.02,1918.19,1926.36
"Illinois","Total Land Converted to Forest Land",16.94,16.94,16.94,16.94,17.29,17.29,17.29,17.29,17.29,17.29,17.68,17.68,17.68,17.68,17.68,17.68,15.53,15.53,15.53,15.53,15.53,15.53,15.53,18.62,18.62,18.62,18.62,18.62,18.62,18.62,18.62,18.62,18.62,18.62
"Illinois","CF",7.61,7.61,7.61,7.61,7.77,7.77,7.77,7.77,7.77,7.77,7.95,7.95,7.95,7.95,7.95,7.95,6.98,6.98,6.98,6.98,6.98,6.98,6.98,8.38,8.38,8.38,8.38,8.38,8.38,8.38,8.38,8.38,8.38,8.38
"Illinois","GF",5.69,5.69,5.69,5.69,5.81,5.81,5.81,5.81,5.81,5.81,5.94,5.94,5.94,5.94,5.94,5.94,5.22,5.22,5.22,5.22,5.22,5.22,5.22,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26
"Illinois","OF",0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
"Illinois","SF",2.48,2.48,2.48,2.48,2.53,2.53,2.53,2.53,2.53,2.53,2.59,2.59,2.59,2.59,2.59,2.59,2.27,2.27,2.27,2.27,2.27,2.27,2.27,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73
"Illinois","WF",0.9,0.9,0.9,0.9,0.92,0.92,0.92,0.92,0.92,0.92,0.94,0.94,0.94,0.94,0.94,0.94,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
"Illinois","Total Forest Land Converted to Land",11.87,11.87,11.87,11.87,11.64,11.64,11.64,11.64,11.64,11.64,11.33,11.33,11.33,11.33,11.33,11.33,9.37,9.37,9.37,9.37,9.37,9.37,9.37,10.45,10.45,10.45,10.45,10.45,10.45,10.45,10.45,10.45,10.45,10.45
"Illinois","FC",4.91,4.91,4.91,4.91,4.94,4.94,4.94,4.94,4.94,4.94,4.99,4.99,4.99,4.99,4.99,4.99,4.33,4.33,4.33,4.33,4.33,4.33,4.33,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16
"Illinois","FG",3.2,3.2,3.2,3.2,3.02,3.02,3.02,3.02,3.02,3.02,2.73,2.73,2.73,2.73,2.73,2.73,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55
"Illinois","FO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Illinois","FS",2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.47,2.47,2.47,2.47,2.47,2.47,2.15,2.15,2.15,2.15,2.15,2.15,2.15,2.59,2.59,2.59,2.59,2.59,2.59,2.59,2.59,2.59,2.59,2.59
"Illinois","FW",1.3,1.3,1.3,1.3,1.22,1.22,1.22,1.22,1.22,1.22,1.14,1.14,1.14,1.14,1.14,1.14,0.94,0.94,0.94,0.94,0.94,0.94,0.94,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16
"Indiana","Total Forest Land",1932.45,1931.32,1930.19,1929.06,1928.17,1927.29,1926.4,1925.51,1924.62,1923.74,1923.24,1922.74,1922.25,1921.75,1921.26,1920.76,1920.88,1921,1921.12,1921.24,1921.36,1921.48,1921.6,1922.76,1923.93,1925.1,1926.27,1927.43,1928.6,1922.76,1923.93,1925.1,1926.27,1927.43
"Indiana","FF",1924.05,1922.92,1921.79,1920.66,1919.8,1918.91,1918.02,1917.13,1916.24,1915.36,1914.88,1914.38,1913.89,1913.39,1912.9,1912.4,1913.71,1913.83,1913.95,1914.07,1914.19,1914.31,1914.43,1914.37,1915.53,1916.7,1917.87,1919.03,1920.2,1914.37,1915.53,1916.7,1917.87,1919.03
"Indiana","Total Land Converted to Forest Land",8.4,8.4,8.4,8.4,8.38,8.38,8.38,8.38,8.38,8.38,8.36,8.36,8.36,8.36,8.36,8.36,7.17,7.17,7.17,7.17,7.17,7.17,7.17,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4
"Indiana","CF",3.68,3.68,3.68,3.68,3.67,3.67,3.67,3.67,3.67,3.67,3.66,3.66,3.66,3.66,3.66,3.66,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68
"Indiana","GF",0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
"Indiana","OF",0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39
"Indiana","SF",3.31,3.31,3.31,3.31,3.3,3.3,3.3,3.3,3.3,3.3,3.29,3.29,3.29,3.29,3.29,3.29,2.82,2.82,2.82,2.82,2.82,2.82,2.82,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31
"Indiana","WF",0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
"Indiana","Total Forest Land Converted to Land",9.54,9.54,9.54,9.54,9.27,9.27,9.27,9.27,9.27,9.27,8.86,8.86,8.86,8.86,8.86,8.86,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23
"Indiana","FC",1.89,1.89,1.89,1.89,1.92,1.92,1.92,1.92,1.92,1.92,1.97,1.97,1.97,1.97,1.97,1.97,1.73,1.73,1.73,1.73,1.73,1.73,1.73,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08
"Indiana","FG",4.8,4.8,4.8,4.8,4.6,4.6,4.6,4.6,4.6,4.6,4.25,4.25,4.25,4.25,4.25,4.25,3.15,3.15,3.15,3.15,3.15,3.15,3.15,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
"Indiana","FO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Indiana","FS",2.54,2.54,2.54,2.54,2.41,2.41,2.41,2.41,2.41,2.41,2.27,2.27,2.27,2.27,2.27,2.27,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99
"Indiana","FW",0.31,0.31,0.31,0.31,0.34,0.34,0.34,0.34,0.34,0.34,0.37,0.37,0.37,0.37,0.37,0.37,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46
"Iowa","Total Forest Land",1114.57,1114.67,1114.77,1114.87,1115.31,1115.74,1116.18,1116.61,1117.05,1117.49,1118.41,1119.33,1120.25,1121.17,1122.09,1123.01,1124.38,1125.75,1127.12,1128.48,1129.85,1131.22,1132.59,1135.03,1137.47,1139.91,1142.35,1144.79,1147.23,1135.03,1137.47,1139.91,1142.35,1144.79
"Iowa","FF",1102.65,1102.75,1102.85,1102.95,1103.36,1103.79,1104.23,1104.66,1105.1,1105.54,1106.4,1107.32,1108.24,1109.16,1110.08,1111,1114,1115.36,1116.73,1118.1,1119.47,1120.84,1122.2,1122.76,1125.2,1127.64,1130.08,1132.52,1134.96,1122.76,1125.2,1127.64,1130.08,1132.52
"Iowa","Total Land Converted to Forest Land",11.92,11.92,11.92,11.92,11.95,11.95,11.95,11.95,11.95,11.95,12.01,12.01,12.01,12.01,12.01,12.01,10.38,10.38,10.38,10.38,10.38,10.38,10.38,12.27,12.27,12.27,12.27,12.27,12.27,12.27,12.27,12.27,12.27,12.27
