"State","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Nevada",0.05,0.41,2.01,0.02,1.91,0.35,3.83,0.04,0.09,6.27,3.27,6,0.31,0.15,1.9,1.93,5.17,2.41,7.61,0.72,0.1,4.39,10.71,7.62,2.23,0.28,1.96,0.33,7.23,0.12,0.5,0.91,0.47
"New Hampshire",,,,,,,,,,,,,,,,0.02,,,,,0,,,,,,,,,,,,0.07
"New Jersey",0.92,1.54,4.87,0.61,0.12,5.31,1.63,1.71,0.99,3.23,0.45,1.85,0.94,0.43,1.05,0.52,0.73,3.78,0.85,,0.48,,0.46,,0.52,0.43,0.28,0.53,0.32,2.19,0.69,0.74,1.63
"New Mexico",1.23,0.61,8.63,25.75,6.53,23.56,18,10.2,5.51,3.9,36.78,5.2,45.75,45.59,21.97,23.02,22.3,5.38,6.06,13.83,8.24,59.38,42.91,26.38,7.34,4.56,13.5,14.45,37.9,7.62,21.91,27.45,217.89
"New York",,,,,0,,,,,,,,0.02,,,,0.18,,0.55,,0.03,,0.17,0,,1.08,0.6,,0.08,,0.07,0,0
"North Carolina",0.53,0.31,0.22,0.54,0.85,0.49,0.08,0.05,1.13,3.09,7.05,3.82,2.09,2.02,1.82,1.34,3.3,5.53,4.67,3.88,3.29,6.5,3.37,3.93,3.05,3.86,29.28,6.71,2.35,3.04,3.61,4.31,3.76
"North Dakota",0,,0.03,0.12,0.08,0.01,0,0.01,0,0.66,0.12,0.07,0.47,0.16,0.51,0.13,0.36,0.05,0.04,0.53,0.37,0.1,0.39,0.06,0.09,0.17,0.07,0.41,0.31,0.05,0.23,0.06,0
"Ohio",,,,,,,,,,,,0.02,0.01,0.22,0.09,1.52,0.01,0.12,0.16,0.03,0.03,,0.13,0.07,0.17,0.04,0.18,,,0.24,0.13,0.18,0.56
"Oklahoma",0.06,11.17,6.12,1.95,6.14,8.86,17.6,1.01,1.48,1.15,6.16,2.08,6.59,22.88,26.29,35.48,25.08,17.82,14.94,41.44,8.59,72.03,20.7,8.78,26.9,16.83,38.1,32.62,34.93,10.21,7.29,21.44,20.19
"Oregon",7.79,3.14,12.15,0,15.72,0.8,54.81,0.96,1.28,7.75,20.38,14.51,168.36,47.92,15.58,14.59,26.04,58.05,15.63,19.82,9.7,16.59,38.25,39.54,41.48,82.15,17.01,124.82,78.44,14.53,174.3,219.46,102.01
"Pennsylvania",0.25,,,,,,,,,,,,,,0.69,0.19,0.71,,0.68,0.15,,,0.23,,0.31,0.59,1.87,,0.27,,2.44,0.13,0.3
"South Carolina",1.19,3.36,1.95,2.44,4.63,1.38,1.94,2.65,2.06,2.83,1.61,3.09,5.3,4.31,13.94,8.73,6.52,7.53,17.92,20.45,17.61,6.27,2.96,10.74,9.02,5.38,9.8,9.77,7.96,5.32,5.07,3.33,4.45
"South Dakota",2.86,1.72,0.45,0.01,0.16,0.14,0.37,0.31,0.1,0.72,5.11,3.56,10.33,4.42,0.16,1.09,1.68,5.13,0.02,0.44,0.63,1.92,6.92,0.05,1.6,2.1,2.24,0.68,0.11,0.05,0.2,0.35,1.35
"Tennessee",,0.71,,,0.65,,0.27,0.2,0.57,1.43,15.49,13.5,0.59,3.09,1.4,4.84,2.49,5.66,1.95,2.85,4.23,0.78,1.29,2.48,2.81,2.08,14.7,0.84,1.6,0.94,1.17,2.1,1.24
"Texas",0.13,0.29,0,0.1,0.44,0.49,5.13,0.03,0.32,0.62,4.06,0.74,1.33,2.45,2.65,3.81,7.4,1.99,5.42,9.32,11.49,52.59,1.6,7.84,9.36,4.37,9.68,16.25,11.06,7.57,3.7,10,13.76
"Utah",0.92,0.01,0.52,0.53,2.59,0.51,1.25,0.26,0,0.78,1.8,4.36,33.17,4.95,3.95,3.38,2.38,9.23,1.86,5.34,3.81,0.32,16.51,1.4,0.81,0.51,6.69,24.35,38.56,11.24,13.51,6.42,5.33
"Vermont",,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,0,0
"Virginia",,0.71,,,0.21,2.5,,,1.77,3.87,10.13,2.29,3.35,3.47,4.52,2.54,4.52,1.42,7.4,0.69,2.96,3.7,10.69,2.14,5.73,3.03,6.8,2.94,2.9,3.78,1.65,2.88,2.42
"Washington",0.9,2.35,0.57,0.01,30.69,0.04,2.81,0.25,4.55,0.39,7.13,23.21,13.66,32.3,18.72,13.61,81.46,10.06,8.56,4.38,3.62,2.19,31.39,13.38,28.83,200.19,6.89,55.5,42.71,9.5,20.48,124.32,35.16
"West Virginia",,135.94,,0.21,7.9,5.24,,,1.11,26.82,4.45,19.91,0.08,0.17,0.87,1.59,0.34,0.7,0.14,0.76,5.08,,1.79,1.5,0.29,3.72,1.44,0.74,0.94,0.27,0.19,0.81,2.03
"Wisconsin",,,,,0.16,,,0.3,0.3,,,0.09,0.01,8.1,0.54,0.58,0.46,0.53,0.05,0.2,0.34,0.64,1.15,1.76,0.46,0.77,0.63,0.12,1.86,0.77,0,0.75,0.9
"Wyoming",,0.83,0.05,0.01,3.04,0,5.51,0.96,0.27,1.13,23.21,6.28,17.76,17.38,1.45,3.77,22.01,15.74,24.15,3.61,2.1,13.5,46.21,11.43,0.82,1.4,28.45,3.04,27.4,2.73,28.19,7.27,3.83
"U.S. Territories",,,,,,,,,,,,,,,,0.17,,0.07,,,,,,0.07,,,,,,,0,0,0.01
