"State","Gas","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Georgia","CO2",0.83,0.04,0.09,0.21,0.11,0.13,0.16,0.2,0.47,0.43,0.29,0.51,3.2,0.59,1.21,0.75,0.99,9.32,0.98,0.56,0.92,6.47,0.39,1.16,1.24,0.92,1.77,3.7,0.64,0.65,0.28,0.53,0.7
"Georgia","CH4",0.04,0,0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.03,0.17,0.03,0.06,0.04,0.05,0.5,0.05,0.03,0.05,0.34,0.02,0.06,0.06,0.05,0.09,0.2,0.04,0.04,0.02,0.03,0.04
"Georgia","N2O",0.04,0,0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.14,0.03,0.05,0.03,0.04,0.41,0.04,0.02,0.04,0.28,0.02,0.05,0.05,0.04,0.08,0.16,0.03,0.03,0.01,0.02,0.03
"Hawaii","CO2",,,,,,,,,,,0,,0.01,0.08,,0,,0.04,,0,,,0,,,0,0.01,0,0.03,0,,0,0
"Hawaii","CH4",,,,,,,,,,,0,,0,0.01,,0,,0.01,,0,,,0,,,0,0,0,0,0,,0,0
"Hawaii","N2O",,,,,,,,,,,0,,0,0,,0,,0,,0,,,0,,,0,0,0,0,0,,0,0
"Idaho","CO2",0.32,0.76,1.27,,12.35,0.03,2.22,0.05,1.19,0.64,29.3,1.07,0.47,5.48,0.32,5.37,8.01,28.13,1.65,0.67,0.47,1.99,22.75,8.2,1.69,11.08,3.33,8.32,4.2,0.56,2.27,8.5,9.88
"Idaho","CH4",0.03,0.06,0.1,,1.05,0,0.18,0,0.11,0.05,2.46,0.09,0.04,0.46,0.03,0.46,0.67,2.37,0.14,0.05,0.04,0.18,1.97,0.66,0.13,0.96,0.27,0.71,0.35,0.04,0.18,0.72,0.87
"Idaho","N2O",0.01,0.03,0.06,,0.54,0,0.1,0,0.05,0.03,1.29,0.05,0.02,0.24,0.01,0.24,0.35,1.24,0.07,0.03,0.02,0.09,1,0.36,0.07,0.49,0.15,0.37,0.18,0.02,0.1,0.37,0.43
"Illinois","CO2",,,,,,,,,,,0.02,0.01,0.09,0.03,0.1,0.03,0.02,0.07,0.09,0.07,0.03,0.17,0.01,0.11,0.09,0.13,0.07,0.03,0.04,0.15,0.06,0.15,0.02
"Illinois","CH4",,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0.01,0,0,0,0.01,0,0.01,0
"Illinois","N2O",,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0.01,0,0.01,0
"Indiana","CO2",,,,,,0.07,,,0.18,0.12,0.11,0.03,0.11,0.12,0.16,0.14,0.07,0.14,0.09,0.03,0.18,0.05,0.06,0.02,0.02,0.02,0.05,0.03,0.04,0.06,0.02,0.05,0.02
"Indiana","CH4",,,,,,0,,,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0
"Indiana","N2O",,,,,,0,,,0.01,0.01,0,0,0,0.01,0.01,0.01,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0
"Iowa","CO2",,,,,,,,,,0.01,0.01,0,0,0,0.01,0,0.01,0,0,0.01,0.02,0.01,0.07,0.04,0.02,0.02,0.01,0,0.07,0,0.01,0,0
"Iowa","CH4",,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iowa","N2O",,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kansas","CO2",0,0.15,0,0.06,0.1,0.02,0.18,0.01,0.06,0,0.05,0.05,0.12,0.27,0.15,0.26,0.22,0.15,0.56,0.87,0.2,0.56,0.19,0.15,1.77,0.77,1.11,1.21,0.47,0.26,0.22,0.13,0.19
"Kansas","CH4",0,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.03,0.04,0.01,0.02,0.01,0.01,0.08,0.04,0.05,0.05,0.02,0.01,0.01,0.01,0.01
"Kansas","N2O",0,0.01,0,0,0,0,0.01,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.04,0.01,0.02,0.01,0.01,0.08,0.03,0.05,0.05,0.02,0.01,0.01,0.01,0.01
"Kentucky","CO2",,4.08,,,1.42,0.9,,,0.03,4.93,1.83,3,0.1,0.06,0.33,0.72,0.31,0.33,0.28,0.19,0.93,0.06,0.14,0.23,0.06,0.11,1.08,0.08,0.09,0.27,0.12,0.36,1
"Kentucky","CH4",,0.19,,,0.07,0.04,,,0,0.24,0.09,0.14,0,0,0.02,0.03,0.01,0.02,0.01,0.01,0.05,0,0.01,0.01,0,0.01,0.05,0,0,0.01,0.01,0.02,0.05
"Kentucky","N2O",,0.18,,,0.06,0.04,,,0,0.22,0.08,0.13,0,0,0.01,0.03,0.01,0.01,0.01,0.01,0.04,0,0.01,0.01,0,0,0.05,0,0,0.01,0.01,0.02,0.04
"Louisiana","CO2",,0,0,0,,0,0.04,0.04,0.05,0.02,0.27,0.12,0.07,0.49,0.19,0.44,0.44,0.45,0.32,0.28,1,0.32,0.22,0.82,0.66,0.63,0.7,0.68,0.55,0.84,0.37,0.37,0.55
"Louisiana","CH4",,0,0,0,,0,0,0,0,0,0.02,0.01,0,0.03,0.01,0.02,0.02,0.02,0.02,0.02,0.06,0.02,0.01,0.05,0.04,0.04,0.04,0.04,0.04,0.05,0.02,0.02,0.03
