"State","Gas","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Utah","CO2",0.07,0,0.03,0.05,0.2,0.03,0.08,0.02,0,0.05,0.18,0.39,3.2,0.31,0.35,0.33,0.19,0.82,0.16,0.53,0.37,0.02,1.54,0.13,0.06,0.04,0.58,2.64,3.78,0.96,1.23,0.53,0.58
"Utah","CH4",0,0,0,0,0.01,0,0,0,0,0,0.01,0.02,0.21,0.02,0.02,0.03,0.01,0.05,0.01,0.04,0.02,0,0.09,0.01,0,0,0.04,0.19,0.27,0.06,0.1,0.03,0.05
"Utah","N2O",0,0,0,0,0.01,0,0,0,0,0,0.01,0.02,0.14,0.01,0.02,0.01,0.01,0.04,0.01,0.02,0.02,0,0.07,0.01,0,0,0.03,0.12,0.17,0.04,0.05,0.02,0.03
"Vermont","CO2",,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0
"Vermont","CH4",,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0
"Vermont","N2O",,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0
"Virginia","CO2",,0.06,,,0.01,0.19,,,0.15,0.33,0.89,0.18,0.28,0.28,0.34,0.2,0.37,0.12,0.59,0.05,0.24,0.29,0.82,0.17,0.49,0.24,0.49,0.19,0.2,0.24,0.12,0.21,0.17
"Virginia","CH4",,0,,,0,0.01,,,0.01,0.02,0.04,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.03,0,0.01,0.01,0.04,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01
"Virginia","N2O",,0,,,0,0.01,,,0.01,0.01,0.04,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.03,0,0.01,0.01,0.04,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01
"Washington","CO2",0.11,0.23,0.05,0,3.07,0,0.34,0.02,0.45,0.05,0.63,2.33,1.46,3.65,1.87,1.65,9.6,1,0.97,0.52,0.47,0.29,3.79,1.3,2.85,22.39,0.7,8.96,5.24,0.85,2.65,13.98,6.05
"Washington","CH4",0.01,0.02,0,0,0.24,0,0.03,0,0.03,0,0.04,0.18,0.12,0.32,0.15,0.13,0.84,0.08,0.08,0.04,0.04,0.02,0.31,0.1,0.21,1.8,0.06,0.84,0.45,0.06,0.22,1.13,0.54
"Washington","N2O",0,0.01,0,0,0.14,0,0.01,0,0.02,0,0.03,0.1,0.06,0.16,0.08,0.07,0.42,0.04,0.04,0.02,0.02,0.01,0.17,0.06,0.13,0.98,0.03,0.39,0.23,0.04,0.12,0.61,0.27
"West Virginia","CO2",,13.53,,0.02,0.77,0.52,,,0.11,2.68,0.44,1.98,0.01,0.01,0.08,0.16,0.03,0.07,0.01,0.07,0.48,,0.17,0.14,0.02,0.34,0.13,0.04,0.07,0.01,0.02,0.05,0.19
"West Virginia","CH4",,0.64,,0,0.04,0.03,,,0.01,0.13,0.02,0.09,0,0,0,0.01,0,0,0,0,0.02,,0.01,0.01,0,0.02,0.01,0,0,0,0,0,0.01
"West Virginia","N2O",,0.59,,0,0.03,0.02,,,0,0.12,0.02,0.09,0,0,0,0.01,0,0,0,0,0.02,,0.01,0.01,0,0.02,0.01,0,0,0,0,0,0.01
"Wisconsin","CO2",,,,,0.01,,,0.02,0.02,,,0.01,0,0.67,0.04,0.04,0.03,0.05,0,0.01,0.02,0.04,0.11,0.11,0.03,0.06,0.04,0.01,0.14,0.06,0,0.05,0.07
"Wisconsin","CH4",,,,,0,,,0,0,,,0,0,0.03,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0.01,0,0,0,0
"Wisconsin","N2O",,,,,0,,,0,0,,,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0
"Wyoming","CO2",,0.09,0,0,0.31,0,0.49,0.07,0.02,0.08,2.51,0.62,1.72,2.12,0.11,0.38,2.06,1.85,2.85,0.34,0.21,1.57,4.5,1.35,0.09,0.12,2.21,0.34,2.29,0.28,1.91,0.69,0.3
"Wyoming","CH4",,0.01,0,0,0.03,0,0.04,0,0,0.01,0.2,0.05,0.13,0.19,0.01,0.03,0.16,0.16,0.25,0.03,0.02,0.14,0.34,0.12,0.01,0.01,0.19,0.03,0.17,0.02,0.14,0.06,0.02
"Wyoming","N2O",,0,0,0,0.01,0,0.02,0,0,0,0.11,0.03,0.08,0.09,0,0.02,0.09,0.08,0.13,0.02,0.01,0.07,0.2,0.06,0,0.01,0.1,0.02,0.1,0.01,0.08,0.03,0.01
"U.S. Territories","CO2",,,,,,,,,,,,,,,,0.01,,0,,,,,,0.01,,,,,,,0,0,0
"U.S. Territories","CH4",,,,,,,,,,,,,,,,0,,0,,,,,,0,,,,,,,0,0,0
"U.S. Territories","N2O",,,,,,,,,,,,,,,,0,,0,,,,,,0,,,,,,,0,0,0
