"State","Gas","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Colorado","CO",1.28,,,0.01,11.79,0.83,19.91,0.02,0.05,0.13,38.29,13.25,521.51,27.54,3.65,14.97,30.57,4.46,4.64,12.35,11.96,21.23,154.59,318.45,32.37,0.98,118.16,39.38,379.91,37.27,466.14,87.01,73.01
"Colorado","NOx",0.04,,,0,0.27,0.03,0.49,0,0,0,0.89,0.3,9.64,0.45,0.07,0.28,0.76,0.09,0.14,0.38,0.3,0.59,3.72,4.67,0.41,0.03,1.87,0.7,7.58,0.61,7.8,1.13,0.95
"Connecticut","CH4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
"Connecticut","N2O",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"Connecticut","CO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19
"Connecticut","NOx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"Delaware","CH4",,,,,,,,,,,,,0,,0.01,,,,,,,,,,,,,,,,,,
"Delaware","N2O",,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,
"Delaware","CO",,,,,,,,,,,,,0.07,,0.26,,,,,,,,,,,,,,,,,,
"Delaware","NOx",,,,,,,,,,,,,0,,0.01,,,,,,,,,,,,,,,,,,
"Florida","CH4",1.36,1.56,2.26,1.29,1.64,0.89,1.6,1.15,6.93,6.03,2.87,3.41,1.7,2.2,6.06,4.04,6.11,16.57,8.45,9.62,7.12,10.6,5.9,4.21,4.26,3.78,2.98,6.73,6.58,3.76,3.17,5.08,3.1
"Florida","N2O",0.11,0.13,0.18,0.11,0.14,0.07,0.13,0.1,0.58,0.5,0.24,0.27,0.13,0.17,0.5,0.3,0.5,1.41,0.7,0.77,0.6,0.86,0.49,0.34,0.36,0.32,0.22,0.48,0.51,0.28,0.23,0.36,0.23
"Florida","CO",36.09,40.41,57.51,35.59,44.2,23.22,40.91,30.51,183.31,164.13,76.38,88.65,44.19,56.3,160.8,102,160.23,456.07,223.14,251.48,190.65,282.16,159.08,109.48,113.36,100.47,74.85,164.51,169.32,94.65,76.66,126.24,77.84
"Florida","NOx",0.92,1.03,1.47,0.9,1.14,0.6,1.05,0.78,4.71,4.08,1.98,2.18,1.07,1.42,4.07,2.48,4.09,11.39,5.74,6.28,4.92,6.98,4,2.81,2.91,2.58,1.82,3.83,4.1,2.29,1.88,2.9,1.91
"Georgia","CH4",1.51,0.07,0.17,0.38,0.21,0.25,0.29,0.35,0.85,0.77,0.52,0.95,6.03,1.06,2.17,1.37,1.8,17.91,1.78,1,1.7,12.18,0.72,2.14,2.24,1.72,3.36,7.14,1.29,1.31,0.55,1.03,1.35
"Georgia","N2O",0.14,0.01,0.02,0.04,0.02,0.02,0.03,0.03,0.08,0.07,0.05,0.09,0.53,0.1,0.2,0.12,0.16,1.55,0.16,0.09,0.15,1.07,0.07,0.19,0.21,0.15,0.29,0.61,0.11,0.11,0.05,0.09,0.12
